rating,reviews,date
1,"            After my annual boiler service, the engineer informed me that British Gas could fit my smart meter as they are now solar panel compatible. I booked at date and stayed at home for the engineer. He arrived in good time and he asked to see my existing meters. As soon as he saw my meter box, he knew the new meter would not fit, apologised and left. I'm not sure why the original service engineer didn't check and I have no idea why British Gas did not ask me to measure my meter box to check it would fit. What they did instead is wasted a journey by one of their engineers and wasted my morning waiting in.
        ",2018-06-10T12:54:17.000+00:00
1,"            British Gas is a terrible company! worst experience ever! switched my accounts to Bulb! been with Bulb for two months now and they have really good customer service and energy prices are really low! Switch to Bulb and they will pay your exit fees! use website below and get 50 pounds off your first bill.  bulb. co. uk / refer / sunilkumarp2030
        ",2018-06-09T17:07:13.000+00:00
1,"            I have tried to call for the last 45 minutes and had the phone connected and then immediately put down 4 times... This is exactly why I am leaving!!!
        ",2018-06-08T14:08:36.000+00:00
1,"            Moved away from British Gas and realized i still had £50+ credit on my account, No attempt was made to refund me automatically. I contacted British gas who claimed they didn't have the last meter reading from my new provider, turns out it was sent!, i gave them the readings again and they said they would refund me.Guess what  No refund Tried again 5days later ---Again No refund3rd Time lucky i called and i got them to say sorry and they will refund straight awayI recently got a refund of £20 Again i called and told i have £37 creditWhat is happening, Its a joke AVOID AVOID AVOID,
        ",2018-06-07T16:21:06.000+00:00
1,"            Stay clear of this company over priced cancelled my plan. They have been taking the last payment for 3 months now! Staff  haven’t got a clue all giving wrong figures!!! Can clearly see why your scoring is so low!!!!!!!!
        ",2018-06-07T13:34:57.000+00:00
1,"            British Gas cancelled my direct debit in December without telling me and then forced me to pay a lump sum in April when they realised ‘their systems’, which were working fine for years, made a ‘set up’ error. Only then within 2 weeks of paying hundreds of pounds which I was sure was incorrect, they set up a direct debit again with much higher payments than all the time I’ve been with them. None of the amounts add up and when I asked them to explain the massive increase in what I’m paying (which is on a fixed price till July) they’ve provided no response. Daylight robbery.  I’ve complained and heard nothing back regarding the price hike. Their online form doesn’t work and only gives error messages so you can’t ever submit a complaint, and their chat system is useless. If you ever even get connected to a person via chat they just tell you someone else is dealing with it. Losing over 100,000 accounts clearly isn’t enough for them. Avoid!
        ",2018-06-06T22:49:24.000+00:00
1,"            after two failed appointments have my boiler serviced, from October l2017 to June 2018 I'm still waiting, if you use the on line service, they expect you to take a minimum of half days holiday, or a full day, while they decide what time they arrive, and only give you the option of 3 days  in the future to book, so much for the tv adverts.  and at a monthly charge of £25.00 its a rip  off
        ",2018-06-05T13:14:25.000+00:00
1,"            I moved into a new property in December and the earliest they could service it was Feb. Surprise surprise they called and cancelled during the slot while I was waiting for them to come and didn't have another appointment until April. Meanwhile we did some investigation into the boiler we had which is 15 years old and never serviced and decided to get some quotes for a new one. Don't want to get caught out in winter with a baby due in October. 2 days before the April appointment they called to cancel because snow was forcast but unsurprisingly their sales guy could still make the appointment, I went online and it let me rebook the appointment for the next day as no snow turned up but again they cancel. This time I did atleast get  £60 back but still not good enough. Finally my boiler was serviced a week ago, however less than a week later it no longer works. I've phoned them to say it doesn't work and I have no heating or hot water and they don't care. All the have is the 'computer says attitude' so with a 2 year old and being pregnant I'm being told to lug a kettle of hot water around to wash when needed until they can get out to me in 2 days time.  That is if they don't cancel again...I've had homecare for 8 years used to be great, now it's appalling I think I'll just save the £50 a month I pay in future to pay a local person to fix the issue.
        ",2018-06-04T06:33:08.000+00:00
1,"            I am only comforted by the amount of bad reviews here which make me feel I am not alone. If I could give minus 5stars I would. The most incompetent, uncaring, disgraceful company I have ever dealt with!!!We booked our annual boiler service in the beginning of the year and were told that the earliest they could come was APRIL !!!!!!! My wife arranged to be off work and hey presto just the previous day British Gas cancelled as no engineers available. The EARLIEST they could come was JUNE 7th, so now we are six months past our service. Today in their infinite wisdom they rang and cancelled again with the pathetic excuse there are no engineers due to “staff training”??? I insisted they keep to their contract and come, but got absolutely nowhere. I said I am not taking no for an answer so except them to be here on Thursday as they are very happy to keep taking my money. I will be cancelling my direct debit very soon!I said we had been considering going back to them for gas and electricity but now I would not use them even if they offer it for free for one year!I said it might be quicker if I rang an engineer in Hong Kong...as he would most probably get here much sooner.I plan to contact BBC Watchdog and the Martin Lewis Money programme as I have never in my life been dealt with in such a dispicable way.
        ",2018-06-03T18:18:39.000+00:00
1,"            They give you the tools to manage your own account on line,  then decide to do it for you anyway. Don't listen and don't care. ""Computer says"" attitude. SWITCHING!!
        ",2018-06-03T14:57:32.000+00:00
1,"            british gas said they had  a termination request for my fuel direct plan I'm a pensioner and fuel direct is the best way to ensure my bill to british gas is paid they said they RECIEVED a termination notice to cancel the fuel direct, but in actual fact they SENT the request to the D.W.P. I'm now in £400+ debt
        ",2018-06-03T13:07:38.000+00:00
1,"            3 members of staff need to be sacked ASAP!They gave me false info regarding the date of my direct debit which put my bank balance in minus so i had to phone the bank to get a refund and after that i got told over the phone my new direct debit would be re-arranged for the 7th of june and then i get a letter saying its coming out on the 6th which is bad date for me as i dont get paid until the 7th so when i rang them to see what went wrong the silly women had the audacity to blame all these complications on me when infact its down to members of staff being incompetent and not giving me the correct billing dates,oh and then she tried to tell me they haven't give me wrong information?BG SORT THIS OUT ASAP.
        ",2018-06-03T04:13:12.000+00:00
1,"            Had a boiler service and cover with them, they cancelled booked service 4 times on me, always on the day just before engineer arrival time. Absolute waste of time as I had to take time off work for the visit. Now cancelled and will never  be using them for anything
        ",2018-05-31T22:37:27.000+00:00
2,"            I've recently moved into a new flat, and have set up my British Gas online account so I can give meter readings etc online. Only one problem: it seems my online account still isn't working. I've been in the flat since 12/05/18, having set up a pre-move in account on 10/05/18.I've rang up and contacted numerous times, but nothing seems to get done. To be fair to them, every person I've spoken to has been very helpful, it's just frustrating that no one seems to understand what's actually going on. There seems to be an issue with my Order Purchase Number, as it still hasn't been completed and is thus making it impossible for me to have full access to my account. The last person I spoke to has said he's passed on the information to the back office, and should be dealt with in 5 working days. I hope that's true. I've had to pay the bill over the phone, rather than through Direct Debit which is what was agreed. Hope it gets sorted soon.
        ",2018-05-31T07:20:21.000+00:00
5,"            British gas have always been good to me and  offered me excellent  customer  service  . I won't be leaving them anytime soon they are one of the best ..for getting things doen
        ",2018-05-30T20:21:38.000+00:00
1,"            This is the second time I have had to make the same complaint in the space of two or three months.I urge all who read this to check their credit files. I pay my bills on time every time yet twice now I have had an adverse entry on my credit file. The forst time for £71.00 and now for £79.00.I want British gas to sort this out in a timely fashion and if it happens again, I 'll have no choice but to change providers. I don't see why I should have my credit score trashed through theit incompetence. AS this is the second time I think they should also pay me compensation for the distress it has caused me twice.
        ",2018-05-28T11:45:36.000+00:00
1,"            Tried to get them to come out on Sunday afternoon - boiler repair not working.  Staff attitude is dreadful told boil a kettle and wash that way.  No flexibility have to wait for all day appointment on Tuesday the earliest they could do unless we had a medical condition- thats discrimination if ever there was.So day off work to wait in all day.  What am I paying for cant even speak to someone who may be able to fix over the phone.  So call  manager on phone was useless if they were even a manager.  Says on there website call us day or night if things go wrong- its a joke
        ",2018-05-27T19:03:38.000+00:00
5,"            a good company. I have used them for British Gas landlord cover and I would say they are the best in the sense of no hassle, get on with the job etc. Other companies may have cheaper packages but they try to make money from you when you have problems because they find ways to wiggle out of it by saying this is not covered etc.
        ",2018-05-26T18:13:02.000+00:00
1,"            After receiving a ridiculously high gas bill after switching energy companies 3 weeks ago, British Gas are still ignoring my emails, when I can to speak to resolve the issue I am cut off, on 2 occasions when calling I get no answer to my issue or why it has happened, this is a awful company.
        ",2018-05-26T09:30:36.000+00:00
1,"            Lodged complaint against British Gas (HomeCare) 7 months ago and despite several letters and emails they are unable to answer questions posed , and what they refer to as ""Customer Service""   is not fit for purpose
        ",2018-05-25T18:22:37.000+00:00
